Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","SOD-123","D_SOD123",-37.306250,-74.612500,180.000000,bottom
"D2","SOD-123","D_SOD123",-56.356250,-74.612500,180.000000,bottom
"D3","SOD-123","D_SOD123",-75.293750,-74.612500,180.000000,bottom
"D4","SOD-123","D_SOD123",-94.456250,-74.612500,180.000000,bottom
"D5","SOD-123","D_SOD123",-113.506250,-74.612500,180.000000,bottom
"D6","SOD-123","D_SOD123",-170.656250,-74.612500,180.000000,bottom
"D7","SOD-123","D_SOD123",-189.706250,-74.612500,180.000000,bottom
"D8","SOD-123","D_SOD123",-208.756250,-74.612500,180.000000,bottom
"D9","SOD-123","D_SOD123",-227.806250,-74.612500,180.000000,bottom
"D10","SOD-123","D_SOD123",-246.856250,-74.612500,180.000000,bottom
"D11","SOD-123","D_SOD123",-265.906250,-74.612500,180.000000,bottom
"D12","SOD-123","D_SOD123",-37.306250,-93.662500,180.000000,bottom
"D13","SOD-123","D_SOD123",-56.356250,-93.662500,180.000000,bottom
"D14","SOD-123","D_SOD123",-75.406250,-93.662500,180.000000,bottom
"D15","SOD-123","D_SOD123",-94.456250,-93.662500,180.000000,bottom
"D16","SOD-123","D_SOD123",-113.506250,-93.662500,180.000000,bottom
"D17","SOD-123","D_SOD123",-170.656250,-93.662500,180.000000,bottom
"D18","SOD-123","D_SOD123",-189.706250,-93.662500,180.000000,bottom
"D19","SOD-123","D_SOD123",-208.756250,-93.662500,180.000000,bottom
"D20","SOD-123","D_SOD123",-227.806250,-93.662500,180.000000,bottom
"D21","SOD-123","D_SOD123",-246.856250,-93.662500,180.000000,bottom
"D22","SOD-123","D_SOD123",-265.906250,-93.662500,180.000000,bottom
"D23","SOD-123","D_SOD123",-75.406250,-131.762500,180.000000,bottom
"D24","SOD-123","D_SOD123",-94.456250,-131.762500,180.000000,bottom
"D25","SOD-123","D_SOD123",-113.506250,-131.762500,180.000000,bottom
"D26","SOD-123","D_SOD123",-170.656250,-131.762500,180.000000,bottom
"D27","SOD-123","D_SOD123",-189.706250,-131.762500,180.000000,bottom
"D28","SOD-123","D_SOD123",-208.756250,-131.762500,180.000000,bottom
"U1","ProMicro","ArduinoProMicro",-142.081250,-79.774250,-90.000000,bottom
